age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
22,no,non-travel,1123,research & development,16,2,medical,4,male,96,4,1,laboratory technician,4,divorced,2935,7324,1,yes,13,3,2,2,1,2,2,1,0,0,0
53,no,travel_rarely,1219,sales,2,4,life sciences,1,female,78,2,4,manager,4,married,15427,22021,2,no,16,3,3,0,31,3,3,25,8,3,7
38,no,travel_rarely,371,research & development,2,3,life sciences,4,male,45,3,1,research scientist,4,single,3944,4306,5,yes,11,3,3,0,6,3,3,3,2,1,2
24,no,non-travel,673,research & development,11,2,other,1,female,96,4,2,manufacturing director,3,divorced,4011,8232,0,no,18,3,4,1,5,5,2,4,2,1,3
36,yes,travel_rarely,1218,sales,9,4,life sciences,3,male,82,2,1,sales representative,1,single,3407,6986,7,no,23,4,2,0,10,4,3,5,3,0,3
34,no,travel_rarely,419,research & development,7,4,life sciences,1,female,53,3,3,research director,2,single,11994,21293,0,no,11,3,3,0,13,4,3,12,6,2,11
21,no,travel_rarely,391,research & development,15,2,life sciences,3,male,96,3,1,research scientist,4,single,1232,19281,1,no,14,3,4,0,0,6,3,0,0,0,0
34,yes,travel_rarely,699,research & development,6,1,medical,2,male,83,3,1,research scientist,1,single,2960,17102,2,no,11,3,3,0,8,2,3,4,2,1,3
53,no,travel_rarely,1282,research & development,5,3,other,3,female,58,3,5,manager,3,divorced,19094,10735,4,no,11,3,4,1,26,3,2,14,13,4,8
32,yes,travel_frequently,1125,research & development,16,1,life sciences,2,female,72,1,1,research scientist,1,single,3919,4681,1,yes,22,4,2,0,10,5,3,10,2,6,7
42,no,travel_rarely,691,sales,8,4,marketing,3,male,48,3,2,sales executive,2,married,6825,21173,0,no,11,3,4,1,10,2,3,9,7,4,2
44,no,travel_rarely,477,research & development,7,4,medical,1,female,42,2,3,healthcare representative,4,married,10248,2094,3,no,14,3,4,1,24,4,3,22,6,5,17
46,no,travel_rarely,705,sales,2,4,marketing,2,female,83,3,5,manager,1,single,18947,22822,3,no,12,3,4,0,22,2,2,2,2,2,1
33,no,travel_rarely,924,research & development,2,3,medical,3,male,78,3,1,laboratory technician,4,single,2496,6670,4,no,11,3,4,0,7,3,3,1,1,0,0
44,no,travel_rarely,1459,research & development,10,4,other,4,male,41,3,2,healthcare representative,4,married,6465,19121,2,yes,13,3,4,0,9,5,4,4,2,1,3
30,no,travel_rarely,125,research & development,9,2,medical,4,male,83,2,1,laboratory technician,3,single,2206,16117,1,no,13,3,1,0,10,5,3,10,0,1,8
39,yes,travel_rarely,895,sales,5,3,technical degree,4,male,56,3,2,sales representative,4,married,2086,3335,3,no,14,3,3,1,19,6,4,1,0,0,0
24,yes,travel_rarely,813,research & development,1,3,medical,2,male,61,3,1,research scientist,4,married,2293,3020,2,yes,16,3,1,1,6,2,2,2,0,2,0
43,no,travel_rarely,1273,research & development,2,2,medical,4,female,72,4,1,research scientist,3,divorced,2645,21923,1,no,12,3,4,2,6,3,2,5,3,1,4
50,yes,travel_rarely,869,sales,3,2,marketing,1,male,86,2,1,sales representative,3,married,2683,3810,1,yes,14,3,3,0,3,2,3,3,2,0,2
35,no,travel_rarely,890,sales,2,3,marketing,4,female,97,3,1,sales representative,4,married,2014,9687,1,no,13,3,1,0,2,3,3,2,2,2,2
36,no,travel_rarely,852,research & development,5,4,life sciences,2,female,82,2,1,research scientist,1,married,3419,13072,9,yes,14,3,4,1,6,3,4,1,1,0,0
33,no,travel_frequently,1141,sales,1,3,life sciences,3,female,42,4,2,sales executive,1,married,5376,3193,2,no,19,3,1,2,10,3,3,5,3,1,3
35,no,travel_rarely,464,research & development,4,2,other,3,male,75,3,1,laboratory technician,4,divorced,1951,10910,1,no,12,3,3,1,1,3,3,1,0,0,0
27,no,travel_rarely,1240,research & development,2,4,life sciences,4,female,33,3,1,laboratory technician,1,divorced,2341,19715,1,no,13,3,4,1,1,6,3,1,0,0,0
26,yes,travel_rarely,1357,research & development,25,3,life sciences,1,male,48,1,1,laboratory technician,3,single,2293,10558,1,no,12,3,3,0,1,2,2,1,0,0,1
27,no,travel_frequently,994,sales,8,3,life sciences,4,male,37,3,3,sales executive,3,single,8726,2975,1,no,15,3,4,0,9,0,3,9,8,1,7
30,no,travel_frequently,721,research & development,1,2,medical,3,female,58,3,2,laboratory technician,4,single,4011,10781,1,no,23,4,4,0,12,2,3,12,8,3,7
41,yes,travel_rarely,1360,research & development,12,3,technical degree,2,female,49,3,5,research director,3,married,19545,16280,1,no,12,3,4,0,23,0,3,22,15,15,8
34,no,non-travel,1065,sales,23,4,marketing,2,male,72,3,2,sales executive,3,single,4568,10034,0,no,20,4,3,0,10,2,3,9,5,8,7
37,no,travel_rarely,408,research & development,19,2,life sciences,2,male,73,3,1,research scientist,2,married,3022,10227,4,no,21,4,1,0,8,1,3,1,0,0,0
46,no,travel_frequently,1211,sales,5,4,marketing,1,male,98,3,2,sales executive,4,single,5772,20445,4,yes,21,4,3,0,14,4,3,9,6,0,8
35,no,travel_rarely,1229,research & development,8,1,life sciences,4,male,36,4,1,laboratory technician,4,married,2269,4892,1,no,19,3,4,0,1,2,3,1,0,0,1
48,yes,travel_rarely,626,research & development,1,2,life sciences,1,male,98,2,3,laboratory technician,3,single,5381,19294,9,yes,13,3,4,0,23,2,3,1,0,0,0
28,yes,travel_rarely,1434,research & development,5,4,technical degree,3,male,50,3,1,laboratory technician,3,single,3441,11179,1,yes,13,3,3,0,2,3,2,2,2,2,2
44,no,travel_rarely,1488,sales,1,5,marketing,2,female,75,3,2,sales executive,1,divorced,5454,4009,5,yes,21,4,3,1,9,2,2,4,3,1,3
35,no,non-travel,1097,research & development,11,2,medical,3,male,79,2,3,healthcare representative,1,married,9884,8302,2,yes,13,3,3,1,10,3,3,4,0,2,3
26,no,travel_rarely,1443,sales,23,3,marketing,3,female,47,2,2,sales executive,4,married,4157,21436,7,yes,19,3,3,1,5,2,2,2,2,0,0
33,no,travel_frequently,515,research & development,1,2,life sciences,1,female,98,3,3,research director,4,single,13458,15146,1,yes,12,3,3,0,15,1,3,15,14,8,12
35,no,travel_frequently,853,sales,18,5,life sciences,2,male,71,3,3,sales executive,1,married,9069,11031,1,no,22,4,4,1,9,3,2,9,8,1,8
35,no,travel_rarely,1142,research & development,23,4,medical,3,female,30,3,1,laboratory technician,1,married,4014,16002,3,yes,15,3,3,1,4,3,3,2,2,2,2
31,no,travel_rarely,655,research & development,7,4,life sciences,4,male,48,3,2,laboratory technician,4,divorced,5915,9528,3,no,22,4,4,1,10,3,2,7,7,1,7
37,no,travel_rarely,1115,research & development,1,4,life sciences,1,male,51,2,2,manufacturing director,3,divorced,5993,2689,1,no,18,3,3,1,7,2,4,7,5,0,7
32,no,travel_rarely,427,research & development,1,3,medical,1,male,33,3,2,manufacturing director,4,married,6162,10877,1,yes,22,4,2,1,9,3,3,9,8,7,8
38,no,travel_frequently,653,research & development,29,5,life sciences,4,female,50,3,2,laboratory technician,4,single,2406,5456,1,no,11,3,4,0,10,2,3,10,3,9,9
50,no,travel_rarely,989,research & development,7,2,medical,2,female,43,2,5,research director,3,divorced,18740,16701,5,yes,12,3,4,1,29,2,2,27,3,13,8
59,no,travel_rarely,1435,sales,25,3,life sciences,1,female,99,3,3,sales executive,1,single,7637,2354,7,no,11,3,4,0,28,3,2,21,16,7,9
36,no,travel_rarely,1223,research & development,8,3,technical degree,3,female,59,3,3,healthcare representative,3,divorced,10096,8202,1,no,13,3,2,3,17,2,3,17,14,12,8
55,no,travel_rarely,836,research & development,8,3,medical,4,female,33,3,4,manager,3,divorced,14756,19730,2,yes,14,3,3,3,21,2,3,5,0,0,2
36,no,travel_frequently,1195,research & development,11,3,life sciences,2,male,95,2,2,manufacturing director,2,single,6499,22656,1,no,13,3,3,0,6,3,3,6,5,0,3
45,no,travel_rarely,1339,research & development,7,3,life sciences,2,male,59,3,3,research scientist,1,divorced,9724,18787,2,no,17,3,3,1,25,2,3,1,0,0,0
35,no,travel_frequently,664,research & development,1,3,medical,2,male,79,3,1,research scientist,1,married,2194,5868,4,no,13,3,4,1,5,2,2,3,2,1,2
36,yes,travel_rarely,318,research & development,9,3,medical,4,male,79,2,1,research scientist,3,married,3388,21777,0,yes,17,3,1,1,2,0,2,1,0,0,0
59,no,travel_frequently,1225,sales,1,1,life sciences,1,female,57,2,2,sales executive,3,single,5473,24668,7,no,11,3,4,0,20,2,2,4,3,1,3
29,no,travel_rarely,1328,research & development,2,3,life sciences,3,male,76,3,1,research scientist,2,married,2703,4956,0,no,23,4,4,1,6,3,3,5,4,0,4
31,no,travel_rarely,1082,research & development,1,4,medical,3,male,87,3,1,research scientist,2,single,2501,18775,1,no,17,3,2,0,1,4,3,1,1,1,0
32,no,travel_rarely,548,research & development,1,3,life sciences,2,male,66,3,2,research scientist,2,married,6220,7346,1,no,17,3,2,2,10,3,3,10,4,0,9
36,no,travel_rarely,132,research & development,6,3,life sciences,2,female,55,4,1,laboratory technician,4,married,3038,22002,3,no,12,3,2,0,5,3,3,1,0,0,0
31,no,travel_rarely,746,research & development,8,4,life sciences,3,female,61,3,2,manufacturing director,4,single,4424,20682,1,no,23,4,4,0,11,2,3,11,7,1,8
35,no,travel_rarely,776,sales,1,4,marketing,3,male,32,2,2,sales executive,1,single,4312,23016,0,no,14,3,2,0,16,2,3,15,13,2,8
45,no,travel_rarely,193,research & development,6,4,other,4,male,52,3,3,research director,1,married,13245,15067,4,yes,14,3,2,0,17,3,4,0,0,0,0
37,no,travel_rarely,397,research & development,7,4,medical,1,male,30,3,3,research director,3,single,13664,25258,4,no,13,3,1,0,16,3,4,5,2,0,2
46,no,travel_rarely,945,human resources,5,2,medical,2,male,80,3,2,human resources,2,divorced,5021,10425,8,yes,22,4,4,1,16,2,3,4,2,0,2
30,no,travel_rarely,852,research & development,1,1,life sciences,4,male,55,2,2,laboratory technician,4,married,5126,15998,1,yes,12,3,3,2,10,1,2,10,8,3,0
35,no,travel_rarely,1214,research & development,1,3,medical,2,male,30,2,1,research scientist,3,single,2859,26278,1,no,18,3,1,0,6,3,3,6,4,0,4
55,no,travel_rarely,111,sales,1,2,life sciences,1,male,70,3,3,sales executive,4,married,10239,18092,3,no,14,3,4,1,24,4,3,1,0,1,0
38,no,non-travel,573,research & development,6,3,medical,2,female,79,1,2,research scientist,4,divorced,5329,15717,7,yes,12,3,4,3,17,3,3,13,11,1,9
34,no,travel_rarely,1153,research & development,1,2,medical,1,male,94,3,2,manufacturing director,2,married,4325,17736,1,no,15,3,3,0,5,2,3,5,2,1,3
56,no,travel_rarely,1400,research & development,7,3,life sciences,4,male,49,1,3,manufacturing director,4,single,7260,21698,4,no,11,3,1,0,37,3,2,6,4,0,2
23,no,travel_rarely,541,sales,2,1,technical degree,3,male,62,3,1,sales representative,1,divorced,2322,9518,3,no,13,3,3,1,3,3,3,0,0,0,0
51,no,travel_rarely,432,research & development,9,4,life sciences,4,male,96,3,1,laboratory technician,4,married,2075,18725,3,no,23,4,2,2,10,4,3,4,2,0,3
30,no,travel_rarely,288,research & development,2,3,life sciences,3,male,99,2,2,healthcare representative,4,married,4152,15830,1,no,19,3,1,3,11,3,3,11,10,10,8
46,yes,travel_rarely,669,sales,9,2,medical,3,male,64,2,3,sales executive,4,single,9619,13596,1,no,16,3,4,0,9,3,3,9,8,4,7
40,no,travel_frequently,530,research & development,1,4,life sciences,3,male,78,2,4,healthcare representative,2,married,13503,14115,1,no,22,4,4,1,22,3,2,22,3,11,11
51,no,travel_rarely,632,sales,21,4,marketing,3,male,71,3,2,sales executive,4,single,5441,8423,0,yes,22,4,4,0,11,2,1,10,7,1,0
30,no,travel_rarely,1334,sales,4,2,medical,3,female,63,2,2,sales executive,2,divorced,5209,19760,1,yes,12,3,2,3,11,4,2,11,8,2,7
46,no,travel_frequently,638,research & development,1,3,medical,3,male,40,2,3,healthcare representative,1,married,10673,3142,2,yes,13,3,3,1,21,5,2,10,9,9,5
32,no,travel_rarely,1093,sales,6,4,medical,2,male,87,3,2,sales executive,3,single,5010,24301,1,no,16,3,1,0,12,0,3,11,8,5,7
54,no,travel_rarely,1217,research & development,2,4,technical degree,1,female,60,3,3,research director,3,married,13549,24001,9,no,12,3,1,1,16,5,1,4,3,0,3
24,no,travel_rarely,1353,sales,3,2,other,1,female,33,3,2,sales executive,3,married,4999,17519,0,no,21,4,1,1,4,2,2,3,2,0,2
28,no,non-travel,120,sales,4,3,medical,2,male,43,3,2,sales executive,3,married,4221,8863,1,no,15,3,2,0,5,3,4,5,4,0,4
58,no,travel_rarely,682,sales,10,4,medical,4,male,37,3,4,sales executive,3,single,13872,24409,0,no,13,3,3,0,38,1,2,37,10,1,8
44,no,non-travel,489,research & development,23,3,medical,2,male,67,3,2,laboratory technician,2,married,2042,25043,4,no,12,3,3,1,17,3,4,3,2,1,2
37,yes,travel_rarely,807,human resources,6,4,human resources,3,male,63,3,1,human resources,1,divorced,2073,23648,4,yes,22,4,4,0,7,3,3,3,2,0,2
32,no,travel_rarely,827,research & development,1,1,life sciences,4,male,71,3,1,research scientist,1,single,2956,15178,1,no,13,3,4,0,1,2,3,1,0,0,0
20,yes,travel_frequently,871,research & development,6,3,life sciences,4,female,66,2,1,laboratory technician,4,single,2926,19783,1,yes,18,3,2,0,1,5,3,1,0,1,0
34,no,travel_rarely,665,research & development,6,4,other,1,female,41,3,2,research scientist,3,single,4809,12482,1,no,14,3,3,0,16,3,3,16,13,2,10
37,no,non-travel,1040,research & development,2,2,life sciences,3,male,100,2,2,healthcare representative,4,divorced,5163,15850,5,no,14,3,4,1,17,2,4,1,0,0,0
59,no,non-travel,1420,human resources,2,4,human resources,3,female,32,2,5,manager,4,married,18844,21922,9,no,21,4,4,1,30,3,3,3,2,2,2
50,no,travel_frequently,1115,research & development,1,3,life sciences,1,female,73,3,5,research director,2,married,18172,9755,3,yes,19,3,1,0,28,1,2,8,3,0,7
25,yes,travel_rarely,240,sales,5,3,marketing,3,male,46,2,2,sales executive,3,single,5744,26959,1,yes,11,3,4,0,6,1,3,6,4,0,3
25,no,travel_rarely,1280,research & development,7,1,medical,4,male,64,2,1,research scientist,4,married,2889,26897,1,no,11,3,3,2,2,2,3,2,2,2,1
22,no,travel_rarely,534,research & development,15,3,medical,2,female,59,3,1,laboratory technician,4,single,2871,23785,1,no,15,3,3,0,1,5,3,0,0,0,0
51,no,travel_frequently,1456,research & development,1,4,medical,1,female,30,2,3,healthcare representative,1,single,7484,25796,3,no,20,4,3,0,23,1,2,13,12,12,8
34,yes,travel_frequently,658,research & development,7,3,life sciences,1,male,66,1,2,laboratory technician,3,single,6074,22887,1,yes,24,4,4,0,9,3,3,9,7,0,6
54,no,non-travel,142,human resources,26,3,human resources,4,female,30,4,4,manager,4,single,17328,13871,2,yes,12,3,3,0,23,3,3,5,3,4,4
24,no,travel_rarely,1127,research & development,18,1,life sciences,2,male,52,3,1,laboratory technician,3,married,2774,13257,0,no,12,3,3,1,6,2,3,5,3,1,2
34,no,travel_rarely,1031,research & development,6,4,life sciences,3,female,45,2,2,research scientist,2,divorced,4505,15000,6,no,15,3,3,1,12,3,3,1,0,0,0
37,no,travel_rarely,1189,sales,3,3,life sciences,3,male,87,3,3,sales executive,4,single,7428,14506,2,no,12,3,1,0,12,3,3,5,3,1,3
34,no,travel_rarely,1354,research & development,5,3,medical,3,female,45,2,3,manager,1,single,11631,5615,2,no,12,3,4,0,14,6,3,11,10,5,8
36,no,travel_frequently,1467,sales,11,2,technical degree,2,female,92,3,3,sales executive,4,married,9738,22952,0,no,14,3,3,1,10,6,3,9,7,2,8
36,no,travel_rarely,922,research & development,3,2,life sciences,1,female,39,3,1,laboratory technician,4,divorced,2835,2561,5,no,22,4,1,1,7,2,3,1,0,0,0
43,no,travel_frequently,394,sales,26,2,life sciences,3,male,92,3,4,manager,4,married,16959,19494,1,yes,12,3,4,2,25,3,4,25,12,4,12
30,no,travel_frequently,1312,research & development,23,3,life sciences,1,male,96,1,1,research scientist,3,divorced,2613,22310,1,no,25,4,3,3,10,2,2,10,7,0,9
33,no,non-travel,750,sales,22,2,marketing,3,male,95,3,2,sales executive,2,married,6146,15480,0,no,13,3,1,1,8,2,4,7,7,0,7
56,yes,travel_rarely,441,research & development,14,4,life sciences,2,female,72,3,1,research scientist,2,married,4963,4510,9,yes,18,3,1,3,7,2,3,5,4,4,3
51,no,travel_rarely,684,research & development,6,3,life sciences,1,male,51,3,5,research director,3,single,19537,6462,7,no,13,3,3,0,23,5,3,20,18,15,15
31,yes,travel_rarely,249,sales,6,4,life sciences,2,male,76,1,2,sales executive,3,married,6172,20739,4,yes,18,3,2,0,12,3,2,7,7,7,7
26,no,travel_rarely,841,research & development,6,3,other,3,female,46,2,1,research scientist,2,married,2368,23300,1,no,19,3,3,0,5,3,2,5,4,4,3
58,yes,travel_rarely,147,research & development,23,4,medical,4,female,94,3,3,healthcare representative,4,married,10312,3465,1,no,12,3,4,1,40,3,2,40,10,15,6
19,yes,travel_rarely,528,sales,22,1,marketing,4,male,50,3,1,sales representative,3,single,1675,26820,1,yes,19,3,4,0,0,2,2,0,0,0,0
22,no,travel_rarely,594,research & development,2,1,technical degree,3,male,100,3,1,laboratory technician,4,married,2523,19299,0,no,14,3,3,1,3,2,3,2,1,2,1
49,no,travel_rarely,470,research & development,20,4,medical,3,female,96,3,2,manufacturing director,1,married,6567,5549,1,no,14,3,3,0,16,2,2,15,11,5,11
43,no,travel_frequently,957,research & development,28,3,medical,2,female,72,4,1,research scientist,3,single,4739,16090,4,no,12,3,4,0,18,2,3,3,2,1,2
50,no,travel_frequently,809,sales,12,3,marketing,3,female,77,3,3,sales executive,4,single,9208,6645,4,no,11,3,4,0,16,3,3,2,2,2,1
31,yes,travel_rarely,542,sales,20,3,life sciences,2,female,71,1,2,sales executive,3,married,4559,24788,3,yes,11,3,3,1,4,2,3,2,2,2,2
41,no,travel_rarely,802,sales,9,1,life sciences,3,male,96,3,3,sales executive,3,divorced,8189,21196,3,yes,13,3,3,1,12,2,3,9,7,0,7
26,no,travel_rarely,1355,human resources,25,1,life sciences,3,female,61,3,1,human resources,3,married,2942,8916,1,no,23,4,4,1,8,3,3,8,7,5,7
36,no,travel_rarely,216,research & development,6,2,medical,2,male,84,3,2,manufacturing director,2,divorced,4941,2819,6,no,20,4,4,2,7,0,3,3,2,0,1
51,yes,travel_frequently,1150,research & development,8,4,life sciences,1,male,53,1,3,manufacturing director,4,single,10650,25150,2,no,15,3,4,0,18,2,3,4,2,0,3
39,no,travel_rarely,1329,sales,4,4,life sciences,4,female,47,2,2,sales executive,3,married,5902,14590,4,no,14,3,3,1,17,1,4,15,11,5,9
25,no,travel_rarely,959,sales,28,3,life sciences,1,male,41,2,2,sales executive,3,married,8639,24835,2,no,18,3,4,0,6,3,3,2,2,2,2
30,no,travel_rarely,1240,human resources,9,3,human resources,3,male,48,3,2,human resources,4,married,6347,13982,0,yes,19,3,4,0,12,2,1,11,9,4,7
32,yes,travel_rarely,1033,research & development,9,3,medical,1,female,41,3,1,laboratory technician,1,single,4200,10224,7,no,22,4,1,0,10,2,4,5,4,0,4
45,no,travel_rarely,1316,research & development,29,3,medical,3,male,83,3,1,research scientist,4,single,3452,9752,5,no,13,3,2,0,9,2,2,6,5,0,3
38,no,travel_rarely,364,research & development,3,5,technical degree,4,female,32,3,2,research scientist,3,single,4317,2302,3,yes,20,4,2,0,19,2,3,3,2,2,2
30,no,travel_rarely,438,research & development,18,3,life sciences,1,female,75,3,1,research scientist,3,single,2632,23910,1,no,14,3,3,0,5,4,2,5,4,0,4
32,no,travel_frequently,689,sales,9,2,medical,4,male,35,1,2,sales executive,4,divorced,4668,22812,0,no,17,3,4,3,9,2,4,8,7,0,7
30,no,travel_rarely,201,research & development,5,3,technical degree,4,female,84,3,1,research scientist,1,divorced,3204,10415,5,no,14,3,4,1,8,3,3,3,2,2,2
30,no,travel_rarely,1427,research & development,2,1,medical,2,male,35,2,1,laboratory technician,4,single,2720,11162,0,no,13,3,4,0,6,3,3,5,3,1,2
41,no,travel_frequently,857,research & development,10,3,life sciences,4,male,91,2,4,manager,1,divorced,17181,12888,4,no,13,3,2,1,21,2,2,7,6,7,7
41,no,travel_rarely,933,research & development,9,4,life sciences,3,male,94,3,1,laboratory technician,1,married,2238,6961,2,no,21,4,4,1,7,2,3,5,0,1,4
19,no,travel_rarely,1181,research & development,3,1,medical,2,female,79,3,1,laboratory technician,2,single,1483,16102,1,no,14,3,4,0,1,3,3,1,0,0,0
40,no,travel_frequently,1395,research & development,26,3,medical,2,female,54,3,2,research scientist,2,divorced,5605,8504,1,no,11,3,1,1,20,2,3,20,7,2,13
35,no,travel_rarely,662,sales,1,5,marketing,3,male,94,3,3,sales executive,2,married,7295,11439,1,no,13,3,1,2,10,3,3,10,8,0,6
53,no,travel_rarely,1436,sales,6,2,marketing,2,male,34,3,2,sales representative,3,married,2306,16047,2,yes,20,4,4,1,13,3,1,7,7,4,5
45,no,travel_rarely,194,research & development,9,3,life sciences,2,male,60,3,2,laboratory technician,2,divorced,2348,10901,8,no,18,3,3,1,20,2,1,17,9,0,15
32,no,travel_frequently,967,sales,8,3,marketing,2,female,43,3,3,sales executive,4,single,8998,15589,1,no,14,3,4,0,9,2,3,9,8,3,7
29,no,non-travel,1496,research & development,1,1,technical degree,4,male,41,3,2,manufacturing director,3,married,4319,26283,1,no,13,3,1,1,10,1,3,10,7,0,9
51,no,travel_rarely,1169,research & development,7,4,medical,2,male,34,2,2,manufacturing director,3,married,6132,13983,2,no,17,3,3,0,10,2,3,1,0,0,0
58,no,travel_rarely,1145,research & development,9,3,medical,2,female,75,2,1,research scientist,2,married,3346,11873,4,yes,20,4,2,1,9,3,2,1,0,0,0
40,no,travel_rarely,630,sales,4,4,marketing,3,male,67,2,3,sales executive,4,married,10855,8552,7,no,11,3,1,1,15,2,2,12,11,2,11
34,no,travel_frequently,303,sales,2,4,marketing,3,female,75,3,1,sales representative,3,married,2231,11314,6,no,18,3,4,1,6,3,3,4,3,1,2
22,no,travel_rarely,1256,research & development,19,1,medical,3,male,80,3,1,research scientist,4,married,2323,11992,1,no,24,4,1,2,2,6,3,2,2,2,2
27,no,non-travel,691,research & development,9,3,medical,4,male,57,3,1,research scientist,2,divorced,2024,5970,6,no,18,3,4,1,6,1,1,2,2,2,2
28,no,travel_rarely,440,research & development,21,3,medical,3,male,42,3,1,research scientist,4,married,2713,6672,1,no,11,3,3,1,5,2,1,5,2,0,2
57,no,travel_rarely,334,research & development,24,2,life sciences,3,male,83,4,3,healthcare representative,4,divorced,9439,23402,3,yes,16,3,2,1,12,2,1,5,3,1,4
27,no,non-travel,1450,research & development,3,3,medical,3,male,79,2,1,research scientist,3,divorced,2566,25326,1,yes,15,3,4,1,1,2,2,1,1,0,1
50,no,travel_rarely,1452,research & development,11,3,life sciences,3,female,53,3,5,manager,2,single,19926,17053,3,no,15,3,2,0,21,5,3,5,4,4,4
41,no,travel_rarely,465,research & development,14,3,life sciences,1,male,56,3,1,research scientist,3,divorced,2451,4609,4,no,12,3,1,1,13,2,3,9,8,1,8
30,no,travel_rarely,1339,sales,5,3,life sciences,2,female,41,3,3,sales executive,4,married,9419,8053,2,no,12,3,3,1,12,2,3,10,9,7,4
38,no,travel_rarely,702,sales,1,4,life sciences,1,female,59,2,2,sales executive,4,single,8686,12930,4,no,22,4,3,0,12,2,4,8,3,0,7
32,no,travel_rarely,120,research & development,6,5,life sciences,3,male,43,3,1,research scientist,3,single,3038,12430,3,no,20,4,1,0,8,2,3,5,4,1,4
27,no,travel_rarely,1157,research & development,17,3,technical degree,3,male,51,3,1,research scientist,2,married,3058,13364,0,yes,16,3,4,1,6,3,2,5,2,1,1
19,yes,travel_frequently,602,sales,1,1,technical degree,3,female,100,1,1,sales representative,1,single,2325,20989,0,no,21,4,1,0,1,5,4,0,0,0,0
36,no,travel_frequently,1480,research & development,3,2,medical,4,male,30,3,1,laboratory technician,2,single,2088,15062,4,no,12,3,3,0,13,3,2,8,7,7,2
30,no,non-travel,111,research & development,9,3,medical,3,male,66,3,2,laboratory technician,1,divorced,3072,11012,1,no,11,3,3,2,12,4,3,12,9,6,10
45,no,travel_rarely,1268,sales,4,2,life sciences,3,female,30,3,2,sales executive,1,divorced,5006,6319,4,yes,11,3,1,1,9,3,4,5,4,0,3
