age,attrition,businesstravel,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
37,0,travel_rarely,research & development,19,2,life sciences,2,male,3,1,research scientist,2,married,3022,4,no,21,4,1,0,8,1,3,1,0,0,0
46,0,travel_frequently,sales,5,4,marketing,1,male,3,2,sales executive,4,single,5772,4,yes,21,4,3,0,14,4,3,9,6,0,8
35,0,travel_rarely,research & development,8,1,life sciences,4,male,4,1,laboratory technician,4,married,2269,1,no,19,3,4,0,1,2,3,1,0,0,1
48,1,travel_rarely,research & development,1,2,life sciences,1,male,2,3,laboratory technician,3,single,5381,9,yes,13,3,4,0,23,2,3,1,0,0,0
28,1,travel_rarely,research & development,5,4,technical degree,3,male,3,1,laboratory technician,3,single,3441,1,yes,13,3,3,0,2,3,2,2,2,2,2
44,0,travel_rarely,sales,1,5,marketing,2,female,3,2,sales executive,1,divorced,5454,5,yes,21,4,3,1,9,2,2,4,3,1,3
35,0,non-travel,research & development,11,2,medical,3,male,2,3,healthcare representative,1,married,9884,2,yes,13,3,3,1,10,3,3,4,0,2,3
26,0,travel_rarely,sales,23,3,marketing,3,female,2,2,sales executive,4,married,4157,7,yes,19,3,3,1,5,2,2,2,2,0,0
33,0,travel_frequently,research & development,1,2,life sciences,1,female,3,3,research director,4,single,13458,1,yes,12,3,3,0,15,1,3,15,14,8,12
35,0,travel_frequently,sales,18,5,life sciences,2,male,3,3,sales executive,1,married,9069,1,no,22,4,4,1,9,3,2,9,8,1,8
35,0,travel_rarely,research & development,23,4,medical,3,female,3,1,laboratory technician,1,married,4014,3,yes,15,3,3,1,4,3,3,2,2,2,2
31,0,travel_rarely,research & development,7,4,life sciences,4,male,3,2,laboratory technician,4,divorced,5915,3,no,22,4,4,1,10,3,2,7,7,1,7
37,0,travel_rarely,research & development,1,4,life sciences,1,male,2,2,manufacturing director,3,divorced,5993,1,no,18,3,3,1,7,2,4,7,5,0,7
32,0,travel_rarely,research & development,1,3,medical,1,male,3,2,manufacturing director,4,married,6162,1,yes,22,4,2,1,9,3,3,9,8,7,8
38,0,travel_frequently,research & development,29,5,life sciences,4,female,3,2,laboratory technician,4,single,2406,1,no,11,3,4,0,10,2,3,10,3,9,9
50,0,travel_rarely,research & development,7,2,medical,2,female,2,5,research director,3,divorced,18740,5,yes,12,3,4,1,29,2,2,27,3,13,8
59,0,travel_rarely,sales,25,3,life sciences,1,female,3,3,sales executive,1,single,7637,7,no,11,3,4,0,28,3,2,21,16,7,9
36,0,travel_rarely,research & development,8,3,technical degree,3,female,3,3,healthcare representative,3,divorced,10096,1,no,13,3,2,3,17,2,3,17,14,12,8
55,0,travel_rarely,research & development,8,3,medical,4,female,3,4,manager,3,divorced,14756,2,yes,14,3,3,3,21,2,3,5,0,0,2
36,0,travel_frequently,research & development,11,3,life sciences,2,male,2,2,manufacturing director,2,single,6499,1,no,13,3,3,0,6,3,3,6,5,0,3
45,0,travel_rarely,research & development,7,3,life sciences,2,male,3,3,research scientist,1,divorced,9724,2,no,17,3,3,1,25,2,3,1,0,0,0
35,0,travel_frequently,research & development,1,3,medical,2,male,3,1,research scientist,1,married,2194,4,no,13,3,4,1,5,2,2,3,2,1,2
36,1,travel_rarely,research & development,9,3,medical,4,male,2,1,research scientist,3,married,3388,0,yes,17,3,1,1,2,0,2,1,0,0,0
59,0,travel_frequently,sales,1,1,life sciences,1,female,2,2,sales executive,3,single,5473,7,no,11,3,4,0,20,2,2,4,3,1,3
29,0,travel_rarely,research & development,2,3,life sciences,3,male,3,1,research scientist,2,married,2703,0,no,23,4,4,1,6,3,3,5,4,0,4
31,0,travel_rarely,research & development,1,4,medical,3,male,3,1,research scientist,2,single,2501,1,no,17,3,2,0,1,4,3,1,1,1,0
32,0,travel_rarely,research & development,1,3,life sciences,2,male,3,2,research scientist,2,married,6220,1,no,17,3,2,2,10,3,3,10,4,0,9
36,0,travel_rarely,research & development,6,3,life sciences,2,female,4,1,laboratory technician,4,married,3038,3,no,12,3,2,0,5,3,3,1,0,0,0
31,0,travel_rarely,research & development,8,4,life sciences,3,female,3,2,manufacturing director,4,single,4424,1,no,23,4,4,0,11,2,3,11,7,1,8
35,0,travel_rarely,sales,1,4,marketing,3,male,2,2,sales executive,1,single,4312,0,no,14,3,2,0,16,2,3,15,13,2,8
45,0,travel_rarely,research & development,6,4,other,4,male,3,3,research director,1,married,13245,4,yes,14,3,2,0,17,3,4,0,0,0,0
37,0,travel_rarely,research & development,7,4,medical,1,male,3,3,research director,3,single,13664,4,no,13,3,1,0,16,3,4,5,2,0,2
46,0,travel_rarely,human resources,5,2,medical,2,male,3,2,human resources,2,divorced,5021,8,yes,22,4,4,1,16,2,3,4,2,0,2
30,0,travel_rarely,research & development,1,1,life sciences,4,male,2,2,laboratory technician,4,married,5126,1,yes,12,3,3,2,10,1,2,10,8,3,0
35,0,travel_rarely,research & development,1,3,medical,2,male,2,1,research scientist,3,single,2859,1,no,18,3,1,0,6,3,3,6,4,0,4
55,0,travel_rarely,sales,1,2,life sciences,1,male,3,3,sales executive,4,married,10239,3,no,14,3,4,1,24,4,3,1,0,1,0
38,0,non-travel,research & development,6,3,medical,2,female,1,2,research scientist,4,divorced,5329,7,yes,12,3,4,3,17,3,3,13,11,1,9
34,0,travel_rarely,research & development,1,2,medical,1,male,3,2,manufacturing director,2,married,4325,1,no,15,3,3,0,5,2,3,5,2,1,3
56,0,travel_rarely,research & development,7,3,life sciences,4,male,1,3,manufacturing director,4,single,7260,4,no,11,3,1,0,37,3,2,6,4,0,2
23,0,travel_rarely,sales,2,1,technical degree,3,male,3,1,sales representative,1,divorced,2322,3,no,13,3,3,1,3,3,3,0,0,0,0
51,0,travel_rarely,research & development,9,4,life sciences,4,male,3,1,laboratory technician,4,married,2075,3,no,23,4,2,2,10,4,3,4,2,0,3
30,0,travel_rarely,research & development,2,3,life sciences,3,male,2,2,healthcare representative,4,married,4152,1,no,19,3,1,3,11,3,3,11,10,10,8
46,1,travel_rarely,sales,9,2,medical,3,male,2,3,sales executive,4,single,9619,1,no,16,3,4,0,9,3,3,9,8,4,7
40,0,travel_frequently,research & development,1,4,life sciences,3,male,2,4,healthcare representative,2,married,13503,1,no,22,4,4,1,22,3,2,22,3,11,11
51,0,travel_rarely,sales,21,4,marketing,3,male,3,2,sales executive,4,single,5441,0,yes,22,4,4,0,11,2,1,10,7,1,0
30,0,travel_rarely,sales,4,2,medical,3,female,2,2,sales executive,2,divorced,5209,1,yes,12,3,2,3,11,4,2,11,8,2,7
46,0,travel_frequently,research & development,1,3,medical,3,male,2,3,healthcare representative,1,married,10673,2,yes,13,3,3,1,21,5,2,10,9,9,5
32,0,travel_rarely,sales,6,4,medical,2,male,3,2,sales executive,3,single,5010,1,no,16,3,1,0,12,0,3,11,8,5,7
54,0,travel_rarely,research & development,2,4,technical degree,1,female,3,3,research director,3,married,13549,9,no,12,3,1,1,16,5,1,4,3,0,3
24,0,travel_rarely,sales,3,2,other,1,female,3,2,sales executive,3,married,4999,0,no,21,4,1,1,4,2,2,3,2,0,2
28,0,non-travel,sales,4,3,medical,2,male,3,2,sales executive,3,married,4221,1,no,15,3,2,0,5,3,4,5,4,0,4
58,0,travel_rarely,sales,10,4,medical,4,male,3,4,sales executive,3,single,13872,0,no,13,3,3,0,38,1,2,37,10,1,8
44,0,non-travel,research & development,23,3,medical,2,male,3,2,laboratory technician,2,married,2042,4,no,12,3,3,1,17,3,4,3,2,1,2
37,1,travel_rarely,human resources,6,4,human resources,3,male,3,1,human resources,1,divorced,2073,4,yes,22,4,4,0,7,3,3,3,2,0,2
32,0,travel_rarely,research & development,1,1,life sciences,4,male,3,1,research scientist,1,single,2956,1,no,13,3,4,0,1,2,3,1,0,0,0
20,1,travel_frequently,research & development,6,3,life sciences,4,female,2,1,laboratory technician,4,single,2926,1,yes,18,3,2,0,1,5,3,1,0,1,0
34,0,travel_rarely,research & development,6,4,other,1,female,3,2,research scientist,3,single,4809,1,no,14,3,3,0,16,3,3,16,13,2,10
37,0,non-travel,research & development,2,2,life sciences,3,male,2,2,healthcare representative,4,divorced,5163,5,no,14,3,4,1,17,2,4,1,0,0,0
59,0,non-travel,human resources,2,4,human resources,3,female,2,5,manager,4,married,18844,9,no,21,4,4,1,30,3,3,3,2,2,2
50,0,travel_frequently,research & development,1,3,life sciences,1,female,3,5,research director,2,married,18172,3,yes,19,3,1,0,28,1,2,8,3,0,7
25,1,travel_rarely,sales,5,3,marketing,3,male,2,2,sales executive,3,single,5744,1,yes,11,3,4,0,6,1,3,6,4,0,3
25,0,travel_rarely,research & development,7,1,medical,4,male,2,1,research scientist,4,married,2889,1,no,11,3,3,2,2,2,3,2,2,2,1
22,0,travel_rarely,research & development,15,3,medical,2,female,3,1,laboratory technician,4,single,2871,1,no,15,3,3,0,1,5,3,0,0,0,0
51,0,travel_frequently,research & development,1,4,medical,1,female,2,3,healthcare representative,1,single,7484,3,no,20,4,3,0,23,1,2,13,12,12,8
34,1,travel_frequently,research & development,7,3,life sciences,1,male,1,2,laboratory technician,3,single,6074,1,yes,24,4,4,0,9,3,3,9,7,0,6
54,0,non-travel,human resources,26,3,human resources,4,female,4,4,manager,4,single,17328,2,yes,12,3,3,0,23,3,3,5,3,4,4
24,0,travel_rarely,research & development,18,1,life sciences,2,male,3,1,laboratory technician,3,married,2774,0,no,12,3,3,1,6,2,3,5,3,1,2
34,0,travel_rarely,research & development,6,4,life sciences,3,female,2,2,research scientist,2,divorced,4505,6,no,15,3,3,1,12,3,3,1,0,0,0
37,0,travel_rarely,sales,3,3,life sciences,3,male,3,3,sales executive,4,single,7428,2,no,12,3,1,0,12,3,3,5,3,1,3
34,0,travel_rarely,research & development,5,3,medical,3,female,2,3,manager,1,single,11631,2,no,12,3,4,0,14,6,3,11,10,5,8
36,0,travel_frequently,sales,11,2,technical degree,2,female,3,3,sales executive,4,married,9738,0,no,14,3,3,1,10,6,3,9,7,2,8
36,0,travel_rarely,research & development,3,2,life sciences,1,female,3,1,laboratory technician,4,divorced,2835,5,no,22,4,1,1,7,2,3,1,0,0,0
43,0,travel_frequently,sales,26,2,life sciences,3,male,3,4,manager,4,married,16959,1,yes,12,3,4,2,25,3,4,25,12,4,12
30,0,travel_frequently,research & development,23,3,life sciences,1,male,1,1,research scientist,3,divorced,2613,1,no,25,4,3,3,10,2,2,10,7,0,9
33,0,non-travel,sales,22,2,marketing,3,male,3,2,sales executive,2,married,6146,0,no,13,3,1,1,8,2,4,7,7,0,7
56,1,travel_rarely,research & development,14,4,life sciences,2,female,3,1,research scientist,2,married,4963,9,yes,18,3,1,3,7,2,3,5,4,4,3
51,0,travel_rarely,research & development,6,3,life sciences,1,male,3,5,research director,3,single,19537,7,no,13,3,3,0,23,5,3,20,18,15,15
31,1,travel_rarely,sales,6,4,life sciences,2,male,1,2,sales executive,3,married,6172,4,yes,18,3,2,0,12,3,2,7,7,7,7
26,0,travel_rarely,research & development,6,3,other,3,female,2,1,research scientist,2,married,2368,1,no,19,3,3,0,5,3,2,5,4,4,3
58,1,travel_rarely,research & development,23,4,medical,4,female,3,3,healthcare representative,4,married,10312,1,no,12,3,4,1,40,3,2,40,10,15,6
19,1,travel_rarely,sales,22,1,marketing,4,male,3,1,sales representative,3,single,1675,1,yes,19,3,4,0,0,2,2,0,0,0,0
22,0,travel_rarely,research & development,2,1,technical degree,3,male,3,1,laboratory technician,4,married,2523,0,no,14,3,3,1,3,2,3,2,1,2,1
49,0,travel_rarely,research & development,20,4,medical,3,female,3,2,manufacturing director,1,married,6567,1,no,14,3,3,0,16,2,2,15,11,5,11
43,0,travel_frequently,research & development,28,3,medical,2,female,4,1,research scientist,3,single,4739,4,no,12,3,4,0,18,2,3,3,2,1,2
50,0,travel_frequently,sales,12,3,marketing,3,female,3,3,sales executive,4,single,9208,4,no,11,3,4,0,16,3,3,2,2,2,1
31,1,travel_rarely,sales,20,3,life sciences,2,female,1,2,sales executive,3,married,4559,3,yes,11,3,3,1,4,2,3,2,2,2,2
41,0,travel_rarely,sales,9,1,life sciences,3,male,3,3,sales executive,3,divorced,8189,3,yes,13,3,3,1,12,2,3,9,7,0,7
26,0,travel_rarely,human resources,25,1,life sciences,3,female,3,1,human resources,3,married,2942,1,no,23,4,4,1,8,3,3,8,7,5,7
36,0,travel_rarely,research & development,6,2,medical,2,male,3,2,manufacturing director,2,divorced,4941,6,no,20,4,4,2,7,0,3,3,2,0,1
51,1,travel_frequently,research & development,8,4,life sciences,1,male,1,3,manufacturing director,4,single,10650,2,no,15,3,4,0,18,2,3,4,2,0,3
39,0,travel_rarely,sales,4,4,life sciences,4,female,2,2,sales executive,3,married,5902,4,no,14,3,3,1,17,1,4,15,11,5,9
25,0,travel_rarely,sales,28,3,life sciences,1,male,2,2,sales executive,3,married,8639,2,no,18,3,4,0,6,3,3,2,2,2,2
30,0,travel_rarely,human resources,9,3,human resources,3,male,3,2,human resources,4,married,6347,0,yes,19,3,4,0,12,2,1,11,9,4,7
32,1,travel_rarely,research & development,9,3,medical,1,female,3,1,laboratory technician,1,single,4200,7,no,22,4,1,0,10,2,4,5,4,0,4
45,0,travel_rarely,research & development,29,3,medical,3,male,3,1,research scientist,4,single,3452,5,no,13,3,2,0,9,2,2,6,5,0,3
38,0,travel_rarely,research & development,3,5,technical degree,4,female,3,2,research scientist,3,single,4317,3,yes,20,4,2,0,19,2,3,3,2,2,2
30,0,travel_rarely,research & development,18,3,life sciences,1,female,3,1,research scientist,3,single,2632,1,no,14,3,3,0,5,4,2,5,4,0,4
32,0,travel_frequently,sales,9,2,medical,4,male,1,2,sales executive,4,divorced,4668,0,no,17,3,4,3,9,2,4,8,7,0,7
30,0,travel_rarely,research & development,5,3,technical degree,4,female,3,1,research scientist,1,divorced,3204,5,no,14,3,4,1,8,3,3,3,2,2,2
30,0,travel_rarely,research & development,2,1,medical,2,male,2,1,laboratory technician,4,single,2720,0,no,13,3,4,0,6,3,3,5,3,1,2
41,0,travel_frequently,research & development,10,3,life sciences,4,male,2,4,manager,1,divorced,17181,4,no,13,3,2,1,21,2,2,7,6,7,7
41,0,travel_rarely,research & development,9,4,life sciences,3,male,3,1,laboratory technician,1,married,2238,2,no,21,4,4,1,7,2,3,5,0,1,4
19,0,travel_rarely,research & development,3,1,medical,2,female,3,1,laboratory technician,2,single,1483,1,no,14,3,4,0,1,3,3,1,0,0,0
40,0,travel_frequently,research & development,26,3,medical,2,female,3,2,research scientist,2,divorced,5605,1,no,11,3,1,1,20,2,3,20,7,2,13
35,0,travel_rarely,sales,1,5,marketing,3,male,3,3,sales executive,2,married,7295,1,no,13,3,1,2,10,3,3,10,8,0,6
53,0,travel_rarely,sales,6,2,marketing,2,male,3,2,sales representative,3,married,2306,2,yes,20,4,4,1,13,3,1,7,7,4,5
45,0,travel_rarely,research & development,9,3,life sciences,2,male,3,2,laboratory technician,2,divorced,2348,8,no,18,3,3,1,20,2,1,17,9,0,15
32,0,travel_frequently,sales,8,3,marketing,2,female,3,3,sales executive,4,single,8998,1,no,14,3,4,0,9,2,3,9,8,3,7
29,0,non-travel,research & development,1,1,technical degree,4,male,3,2,manufacturing director,3,married,4319,1,no,13,3,1,1,10,1,3,10,7,0,9
51,0,travel_rarely,research & development,7,4,medical,2,male,2,2,manufacturing director,3,married,6132,2,no,17,3,3,0,10,2,3,1,0,0,0
58,0,travel_rarely,research & development,9,3,medical,2,female,2,1,research scientist,2,married,3346,4,yes,20,4,2,1,9,3,2,1,0,0,0
40,0,travel_rarely,sales,4,4,marketing,3,male,2,3,sales executive,4,married,10855,7,no,11,3,1,1,15,2,2,12,11,2,11
34,0,travel_frequently,sales,2,4,marketing,3,female,3,1,sales representative,3,married,2231,6,no,18,3,4,1,6,3,3,4,3,1,2
22,0,travel_rarely,research & development,19,1,medical,3,male,3,1,research scientist,4,married,2323,1,no,24,4,1,2,2,6,3,2,2,2,2
27,0,non-travel,research & development,9,3,medical,4,male,3,1,research scientist,2,divorced,2024,6,no,18,3,4,1,6,1,1,2,2,2,2
28,0,travel_rarely,research & development,21,3,medical,3,male,3,1,research scientist,4,married,2713,1,no,11,3,3,1,5,2,1,5,2,0,2
57,0,travel_rarely,research & development,24,2,life sciences,3,male,4,3,healthcare representative,4,divorced,9439,3,yes,16,3,2,1,12,2,1,5,3,1,4
27,0,non-travel,research & development,3,3,medical,3,male,2,1,research scientist,3,divorced,2566,1,yes,15,3,4,1,1,2,2,1,1,0,1
50,0,travel_rarely,research & development,11,3,life sciences,3,female,3,5,manager,2,single,19926,3,no,15,3,2,0,21,5,3,5,4,4,4
41,0,travel_rarely,research & development,14,3,life sciences,1,male,3,1,research scientist,3,divorced,2451,4,no,12,3,1,1,13,2,3,9,8,1,8
30,0,travel_rarely,sales,5,3,life sciences,2,female,3,3,sales executive,4,married,9419,2,no,12,3,3,1,12,2,3,10,9,7,4
38,0,travel_rarely,sales,1,4,life sciences,1,female,2,2,sales executive,4,single,8686,4,no,22,4,3,0,12,2,4,8,3,0,7
32,0,travel_rarely,research & development,6,5,life sciences,3,male,3,1,research scientist,3,single,3038,3,no,20,4,1,0,8,2,3,5,4,1,4
27,0,travel_rarely,research & development,17,3,technical degree,3,male,3,1,research scientist,2,married,3058,0,yes,16,3,4,1,6,3,2,5,2,1,1
19,1,travel_frequently,sales,1,1,technical degree,3,female,1,1,sales representative,1,single,2325,0,no,21,4,1,0,1,5,4,0,0,0,0
36,0,travel_frequently,research & development,3,2,medical,4,male,3,1,laboratory technician,2,single,2088,4,no,12,3,3,0,13,3,2,8,7,7,2
30,0,non-travel,research & development,9,3,medical,3,male,3,2,laboratory technician,1,divorced,3072,1,no,11,3,3,2,12,4,3,12,9,6,10
45,0,travel_rarely,sales,4,2,life sciences,3,female,3,2,sales executive,1,divorced,5006,4,yes,11,3,1,1,9,3,4,5,4,0,3
56,0,travel_rarely,research & development,8,3,life sciences,3,female,3,1,research scientist,1,divorced,4257,4,yes,18,3,3,1,19,3,3,2,2,2,2
33,0,travel_rarely,research & development,2,3,life sciences,3,male,3,1,research scientist,4,single,2500,0,no,14,3,1,0,4,2,4,3,1,0,2
19,1,travel_rarely,research & development,2,3,life sciences,2,male,2,1,laboratory technician,4,single,1102,1,no,22,4,3,0,1,3,2,1,0,1,0
46,0,travel_rarely,sales,1,2,marketing,2,female,3,3,sales executive,1,divorced,10453,1,no,25,4,3,3,24,2,3,24,13,15,7
38,0,travel_rarely,research & development,9,2,life sciences,3,female,3,1,laboratory technician,4,single,2288,1,no,12,3,3,0,2,3,3,2,2,2,1
31,0,travel_rarely,research & development,12,1,medical,3,female,3,1,research scientist,4,married,3929,8,yes,23,4,3,1,7,0,3,4,2,0,2
34,0,travel_rarely,research & development,27,2,medical,4,female,3,1,research scientist,2,single,2311,2,no,15,3,4,0,9,3,3,3,2,1,2
41,1,travel_rarely,sales,20,2,marketing,2,female,3,1,sales representative,2,single,3140,1,yes,22,4,4,0,4,5,2,4,3,0,2
50,0,travel_rarely,research & development,1,3,medical,3,male,2,1,laboratory technician,3,married,3690,2,no,15,3,4,1,5,2,2,3,2,0,2
53,0,travel_rarely,research & development,13,2,medical,4,female,4,2,manufacturing director,1,divorced,4450,1,no,11,3,3,2,5,3,3,4,2,1,3
33,0,travel_rarely,research & development,14,3,medical,4,female,3,1,research scientist,2,married,2756,1,no,13,3,4,1,8,5,3,8,7,1,6
40,0,travel_rarely,research & development,4,1,medical,4,female,3,5,manager,3,married,19033,1,no,14,3,2,1,21,2,3,20,8,9,9
55,0,travel_rarely,research & development,14,4,medical,3,male,4,5,research director,2,single,18722,8,no,11,3,4,0,36,3,3,24,15,2,15
34,0,travel_frequently,research & development,2,1,life sciences,4,male,2,2,manufacturing director,3,married,9547,1,no,17,3,3,0,10,2,2,10,9,1,9
51,0,travel_rarely,research & development,3,3,medical,4,female,3,4,healthcare representative,2,single,13734,3,no,18,3,3,0,21,6,3,7,7,1,0
52,0,travel_rarely,research & development,1,4,life sciences,3,male,2,5,manager,3,married,19999,0,no,14,3,1,1,34,5,3,33,18,11,9
27,0,travel_rarely,research & development,9,3,medical,4,female,3,1,research scientist,2,single,2279,1,no,16,3,4,0,7,2,2,7,7,0,3
35,1,travel_rarely,research & development,23,2,life sciences,2,male,2,2,manufacturing director,3,married,5916,3,yes,13,3,1,0,8,1,3,1,0,0,1
43,0,non-travel,research & development,7,3,medical,4,male,4,1,research scientist,4,divorced,2089,4,no,14,3,4,3,7,3,4,5,4,2,2
