,age,attrition,businesstravel,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,salaryquartile,worklesstwoyears,newatcompany,highriskjob,youngsingleoverworked,stay_prob
84,34,0,travel_rarely,research & development,1,2,medical,1,male,3,2,manufacturing director,2,married,4325,1,no,15,3,3,0,5,2,3,5,2,1,3,3,0,0,0,0,0.9797770072179103
86,23,0,travel_rarely,sales,2,1,technical degree,3,male,3,1,sales representative,1,divorced,2322,3,no,13,3,3,1,3,3,3,0,0,0,0,1,0,1,1,0,0.6657330860938919
88,30,0,travel_rarely,research & development,2,3,life sciences,3,male,2,2,healthcare representative,4,married,4152,1,no,19,3,1,3,11,3,3,11,10,10,8,2,0,0,0,0,0.9526958359098833
90,40,0,travel_frequently,research & development,1,4,life sciences,3,male,2,4,healthcare representative,2,married,13503,1,no,22,4,4,1,22,3,2,22,3,11,11,5,0,0,0,1,0.9681294074591176
92,30,0,travel_rarely,sales,4,2,medical,3,female,2,2,sales executive,2,divorced,5209,1,yes,12,3,2,3,11,4,2,11,8,2,7,3,0,0,0,1,0.9181385108527269
94,32,0,travel_rarely,sales,6,4,medical,2,male,3,2,sales executive,3,single,5010,1,no,16,3,1,0,12,0,3,11,8,5,7,3,0,0,0,1,0.368354948416408
96,24,0,travel_rarely,sales,3,2,other,1,female,3,2,sales executive,3,married,4999,0,no,21,4,1,1,4,2,2,3,2,0,2,3,0,0,0,0,0.7182459826677936
97,28,0,non-travel,sales,4,3,medical,2,male,3,2,sales executive,3,married,4221,1,no,15,3,2,0,5,3,4,5,4,0,4,2,0,0,0,1,0.9603622881343511
100,37,1,travel_rarely,human resources,6,4,human resources,3,male,3,1,human resources,1,divorced,2073,4,yes,22,4,4,0,7,3,3,3,2,0,2,1,0,0,0,1,0.6183017075230683
101,32,0,travel_rarely,research & development,1,1,life sciences,4,male,3,1,research scientist,1,single,2956,1,no,13,3,4,0,1,2,3,1,0,0,0,2,1,1,0,1,0.7917952813667462
102,20,1,travel_frequently,research & development,6,3,life sciences,4,female,2,1,laboratory technician,4,single,2926,1,yes,18,3,2,0,1,5,3,1,0,1,0,2,1,1,1,3,0.012174802020792049
103,34,0,travel_rarely,research & development,6,4,other,1,female,3,2,research scientist,3,single,4809,1,no,14,3,3,0,16,3,3,16,13,2,10,3,0,0,0,1,0.9810206451746926
104,37,0,non-travel,research & development,2,2,life sciences,3,male,2,2,healthcare representative,4,divorced,5163,5,no,14,3,4,1,17,2,4,1,0,0,0,3,0,1,0,1,0.9991645230081582
107,25,1,travel_rarely,sales,5,3,marketing,3,male,2,2,sales executive,3,single,5744,1,yes,11,3,4,0,6,1,3,6,4,0,3,4,0,0,0,2,0.3278478293635134
108,25,0,travel_rarely,research & development,7,1,medical,4,male,2,1,research scientist,4,married,2889,1,no,11,3,3,2,2,2,3,2,2,2,1,2,0,0,0,0,0.9937152584224165
109,22,0,travel_rarely,research & development,15,3,medical,2,female,3,1,laboratory technician,4,single,2871,1,no,15,3,3,0,1,5,3,0,0,0,0,2,1,1,1,1,0.5982683294446821
111,34,1,travel_frequently,research & development,7,3,life sciences,1,male,1,2,laboratory technician,3,single,6074,1,yes,24,4,4,0,9,3,3,9,7,0,6,4,0,0,1,3,0.22021248622486922
113,24,0,travel_rarely,research & development,18,1,life sciences,2,male,3,1,laboratory technician,3,married,2774,0,no,12,3,3,1,6,2,3,5,3,1,2,2,0,0,1,0,0.8642039410859577
114,34,0,travel_rarely,research & development,6,4,life sciences,3,female,2,2,research scientist,2,divorced,4505,6,no,15,3,3,1,12,3,3,1,0,0,0,3,0,1,0,0,0.9379587503363559
115,37,0,travel_rarely,sales,3,3,life sciences,3,male,3,3,sales executive,4,single,7428,2,no,12,3,1,0,12,3,3,5,3,1,3,4,0,0,0,1,0.943294110237651
116,34,0,travel_rarely,research & development,5,3,medical,3,female,2,3,manager,1,single,11631,2,no,12,3,4,0,14,6,3,11,10,5,8,5,0,0,0,1,0.9962586276244169
117,36,0,travel_frequently,sales,11,2,technical degree,2,female,3,3,sales executive,4,married,9738,0,no,14,3,3,1,10,6,3,9,7,2,8,4,0,0,0,1,0.997246969128525
118,36,0,travel_rarely,research & development,3,2,life sciences,1,female,3,1,laboratory technician,4,divorced,2835,5,no,22,4,1,1,7,2,3,1,0,0,0,2,0,1,1,0,0.8515298030710684
120,30,0,travel_frequently,research & development,23,3,life sciences,1,male,1,1,research scientist,3,divorced,2613,1,no,25,4,3,3,10,2,2,10,7,0,9,1,0,0,0,1,0.8210811128350651
121,33,0,non-travel,sales,22,2,marketing,3,male,3,2,sales executive,2,married,6146,0,no,13,3,1,1,8,2,4,7,7,0,7,4,0,0,0,1,0.988038470816703
124,31,1,travel_rarely,sales,6,4,life sciences,2,male,1,2,sales executive,3,married,6172,4,yes,18,3,2,0,12,3,2,7,7,7,7,4,0,0,0,1,0.01223448411483939
125,26,0,travel_rarely,research & development,6,3,other,3,female,2,1,research scientist,2,married,2368,1,no,19,3,3,0,5,3,2,5,4,4,3,1,0,0,0,0,0.3513876642743642
127,19,1,travel_rarely,sales,22,1,marketing,4,male,3,1,sales representative,3,single,1675,1,yes,19,3,4,0,0,2,2,0,0,0,0,1,1,1,1,2,0.022714338898976196
128,22,0,travel_rarely,research & development,2,1,technical degree,3,male,3,1,laboratory technician,4,married,2523,0,no,14,3,3,1,3,2,3,2,1,2,1,1,0,0,1,0,0.9330206315764292
132,31,1,travel_rarely,sales,20,3,life sciences,2,female,1,2,sales executive,3,married,4559,3,yes,11,3,3,1,4,2,3,2,2,2,2,3,0,0,0,1,0.07486167707801364
133,41,0,travel_rarely,sales,9,1,life sciences,3,male,3,3,sales executive,3,divorced,8189,3,yes,13,3,3,1,12,2,3,9,7,0,7,4,0,0,0,1,0.9800571164537808
134,26,0,travel_rarely,human resources,25,1,life sciences,3,female,3,1,human resources,3,married,2942,1,no,23,4,4,1,8,3,3,8,7,5,7,2,0,0,0,0,0.9748385105108187
135,36,0,travel_rarely,research & development,6,2,medical,2,male,3,2,manufacturing director,2,divorced,4941,6,no,20,4,4,2,7,0,3,3,2,0,1,3,0,0,0,0,0.9975734200629858
137,39,0,travel_rarely,sales,4,4,life sciences,4,female,2,2,sales executive,3,married,5902,4,no,14,3,3,1,17,1,4,15,11,5,9,4,0,0,0,0,0.9919060023965129
138,25,0,travel_rarely,sales,28,3,life sciences,1,male,2,2,sales executive,3,married,8639,2,no,18,3,4,0,6,3,3,2,2,2,2,4,0,0,0,0,0.2016600667593582
139,30,0,travel_rarely,human resources,9,3,human resources,3,male,3,2,human resources,4,married,6347,0,yes,19,3,4,0,12,2,1,11,9,4,7,4,0,0,0,1,0.7527066067566003
140,32,1,travel_rarely,research & development,9,3,medical,1,female,3,1,laboratory technician,1,single,4200,7,no,22,4,1,0,10,2,4,5,4,0,4,2,0,0,1,1,0.17727234728556954
142,38,0,travel_rarely,research & development,3,5,technical degree,4,female,3,2,research scientist,3,single,4317,3,yes,20,4,2,0,19,2,3,3,2,2,2,3,0,0,0,2,0.9512046040810855
143,30,0,travel_rarely,research & development,18,3,life sciences,1,female,3,1,research scientist,3,single,2632,1,no,14,3,3,0,5,4,2,5,4,0,4,1,0,0,0,1,0.6364883667283904
144,32,0,travel_frequently,sales,9,2,medical,4,male,1,2,sales executive,4,divorced,4668,0,no,17,3,4,3,9,2,4,8,7,0,7,3,0,0,0,1,0.9991474295964432
145,30,0,travel_rarely,research & development,5,3,technical degree,4,female,3,1,research scientist,1,divorced,3204,5,no,14,3,4,1,8,3,3,3,2,2,2,2,0,0,0,0,0.9820123885168106
146,30,0,travel_rarely,research & development,2,1,medical,2,male,2,1,laboratory technician,4,single,2720,0,no,13,3,4,0,6,3,3,5,3,1,2,2,0,0,1,1,0.9348002490302763
147,41,0,travel_frequently,research & development,10,3,life sciences,4,male,2,4,manager,1,divorced,17181,4,no,13,3,2,1,21,2,2,7,6,7,7,5,0,0,0,1,0.8960866413111361
148,41,0,travel_rarely,research & development,9,4,life sciences,3,male,3,1,laboratory technician,1,married,2238,2,no,21,4,4,1,7,2,3,5,0,1,4,1,0,0,1,0,0.9799933579887176
149,19,0,travel_rarely,research & development,3,1,medical,2,female,3,1,laboratory technician,2,single,1483,1,no,14,3,4,0,1,3,3,1,0,0,0,1,1,1,1,1,0.3117858978478241
150,40,0,travel_frequently,research & development,26,3,medical,2,female,3,2,research scientist,2,divorced,5605,1,no,11,3,1,1,20,2,3,20,7,2,13,3,0,0,0,1,0.9874427212243518
151,35,0,travel_rarely,sales,1,5,marketing,3,male,3,3,sales executive,2,married,7295,1,no,13,3,1,2,10,3,3,10,8,0,6,4,0,0,0,0,0.9922553291889884
154,32,0,travel_frequently,sales,8,3,marketing,2,female,3,3,sales executive,4,single,8998,1,no,14,3,4,0,9,2,3,9,8,3,7,4,0,0,0,2,0.9282431190886747
155,29,0,non-travel,research & development,1,1,technical degree,4,male,3,2,manufacturing director,3,married,4319,1,no,13,3,1,1,10,1,3,10,7,0,9,3,0,0,0,1,0.9993732056188239
158,40,0,travel_rarely,sales,4,4,marketing,3,male,2,3,sales executive,4,married,10855,7,no,11,3,1,1,15,2,2,12,11,2,11,5,0,0,0,0,0.9598479667094845
159,34,0,travel_frequently,sales,2,4,marketing,3,female,3,1,sales representative,3,married,2231,6,no,18,3,4,1,6,3,3,4,3,1,2,1,0,0,1,1,0.8935791972498687
160,22,0,travel_rarely,research & development,19,1,medical,3,male,3,1,research scientist,4,married,2323,1,no,24,4,1,2,2,6,3,2,2,2,2,1,0,0,0,0,0.9853705663656751
161,27,0,non-travel,research & development,9,3,medical,4,male,3,1,research scientist,2,divorced,2024,6,no,18,3,4,1,6,1,1,2,2,2,2,1,0,0,0,1,0.8895019560897199
162,28,0,travel_rarely,research & development,21,3,medical,3,male,3,1,research scientist,4,married,2713,1,no,11,3,3,1,5,2,1,5,2,0,2,2,0,0,0,0,0.9760288649474329
164,27,0,non-travel,research & development,3,3,medical,3,male,2,1,research scientist,3,divorced,2566,1,yes,15,3,4,1,1,2,2,1,1,0,1,1,1,1,0,2,0.6236167200717673
166,41,0,travel_rarely,research & development,14,3,life sciences,1,male,3,1,research scientist,3,divorced,2451,4,no,12,3,1,1,13,2,3,9,8,1,8,1,0,0,0,0,0.9463788954890574
167,30,0,travel_rarely,sales,5,3,life sciences,2,female,3,3,sales executive,4,married,9419,2,no,12,3,3,1,12,2,3,10,9,7,4,4,0,0,0,0,0.9344792388554486
168,38,0,travel_rarely,sales,1,4,life sciences,1,female,2,2,sales executive,4,single,8686,4,no,22,4,3,0,12,2,4,8,3,0,7,4,0,0,0,1,0.9255223152292764
169,32,0,travel_rarely,research & development,6,5,life sciences,3,male,3,1,research scientist,3,single,3038,3,no,20,4,1,0,8,2,3,5,4,1,4,2,0,0,0,1,0.8355362407381522
170,27,0,travel_rarely,research & development,17,3,technical degree,3,male,3,1,research scientist,2,married,3058,0,yes,16,3,4,1,6,3,2,5,2,1,1,2,0,0,0,1,0.7008550809201688
171,19,1,travel_frequently,sales,1,1,technical degree,3,female,1,1,sales representative,1,single,2325,0,no,21,4,1,0,1,5,4,0,0,0,0,1,1,1,1,2,0.023327127227307492
172,36,0,travel_frequently,research & development,3,2,medical,4,male,3,1,laboratory technician,2,single,2088,4,no,12,3,3,0,13,3,2,8,7,7,2,1,0,0,1,2,0.43353523720894244
173,30,0,non-travel,research & development,9,3,medical,3,male,3,2,laboratory technician,1,divorced,3072,1,no,11,3,3,2,12,4,3,12,9,6,10,2,0,0,1,1,0.9967499991348316
176,33,0,travel_rarely,research & development,2,3,life sciences,3,male,3,1,research scientist,4,single,2500,0,no,14,3,1,0,4,2,4,3,1,0,2,1,0,0,0,1,0.8940731812364776
177,19,1,travel_rarely,research & development,2,3,life sciences,2,male,2,1,laboratory technician,4,single,1102,1,no,22,4,3,0,1,3,2,1,0,1,0,1,1,1,1,1,0.10062879438036702
179,38,0,travel_rarely,research & development,9,2,life sciences,3,female,3,1,laboratory technician,4,single,2288,1,no,12,3,3,0,2,3,3,2,2,2,1,1,0,0,1,1,0.9073544958554624
180,31,0,travel_rarely,research & development,12,1,medical,3,female,3,1,research scientist,4,married,3929,8,yes,23,4,3,1,7,0,3,4,2,0,2,2,0,0,0,1,0.8045693953190863
181,34,0,travel_rarely,research & development,27,2,medical,4,female,3,1,research scientist,2,single,2311,2,no,15,3,4,0,9,3,3,3,2,1,2,1,0,0,0,1,0.9641800764168877
182,41,1,travel_rarely,sales,20,2,marketing,2,female,3,1,sales representative,2,single,3140,1,yes,22,4,4,0,4,5,2,4,3,0,2,2,0,0,1,2,0.7100872908983723
185,33,0,travel_rarely,research & development,14,3,medical,4,female,3,1,research scientist,2,married,2756,1,no,13,3,4,1,8,5,3,8,7,1,6,2,0,0,0,0,0.9995389067765083
186,40,0,travel_rarely,research & development,4,1,medical,4,female,3,5,manager,3,married,19033,1,no,14,3,2,1,21,2,3,20,8,9,9,5,0,0,0,0,0.9988535001973179
188,34,0,travel_frequently,research & development,2,1,life sciences,4,male,2,2,manufacturing director,3,married,9547,1,no,17,3,3,0,10,2,2,10,9,1,9,4,0,0,0,1,0.985152232328328
191,27,0,travel_rarely,research & development,9,3,medical,4,female,3,1,research scientist,2,single,2279,1,no,16,3,4,0,7,2,2,7,7,0,3,1,0,0,0,1,0.9286070925570841
192,35,1,travel_rarely,research & development,23,2,life sciences,2,male,2,2,manufacturing director,3,married,5916,3,yes,13,3,1,0,8,1,3,1,0,0,1,4,0,1,0,1,0.19426567457082325
195,37,0,travel_rarely,research & development,21,3,life sciences,2,male,4,1,research scientist,1,married,3564,1,yes,12,3,1,1,8,3,2,8,7,1,7,2,0,0,0,1,0.5764237027908679
196,35,0,travel_frequently,research & development,2,3,medical,2,female,3,2,laboratory technician,2,single,4425,5,no,11,3,4,0,10,5,3,6,2,1,2,3,0,0,1,2,0.9090481967708982
198,38,0,travel_rarely,research & development,2,4,life sciences,4,male,3,2,manufacturing director,3,married,6553,9,no,14,3,2,0,14,3,3,1,0,0,0,4,0,1,0,0,0.9785981920673736
199,38,0,travel_rarely,research & development,29,3,technical degree,4,male,3,2,manufacturing director,4,married,6261,3,no,18,3,1,1,9,3,1,7,7,1,7,4,0,0,0,0,0.9943823742192728
200,27,0,travel_frequently,research & development,1,1,technical degree,3,male,2,2,manufacturing director,1,married,4298,5,no,19,3,3,1,6,1,3,2,2,2,0,3,0,0,0,1,0.520055025437244
202,34,0,travel_frequently,research & development,10,4,medical,4,male,3,1,research scientist,3,divorced,3815,1,yes,17,3,4,1,5,4,4,5,3,2,0,2,0,0,0,2,0.9608859310876642
203,40,0,travel_rarely,research & development,19,2,medical,3,male,3,2,laboratory technician,4,married,2741,8,yes,15,3,3,1,15,2,4,7,2,3,7,2,0,0,1,1,0.9470413122351797
204,38,1,travel_rarely,research & development,29,1,medical,2,male,3,2,healthcare representative,1,married,6673,7,yes,19,3,2,0,17,2,3,1,0,0,0,4,0,1,0,1,0.1715107557396037
205,29,1,travel_rarely,sales,27,3,marketing,2,female,3,3,sales executive,4,married,7639,1,no,22,4,4,3,10,3,2,10,4,1,9,4,0,0,0,0,0.9989573340974117
206,22,0,travel_rarely,research & development,5,3,life sciences,4,male,4,1,research scientist,2,divorced,2328,1,yes,16,3,1,1,4,2,2,4,2,2,2,1,0,0,0,1,0.2790566274081954
207,36,0,travel_frequently,research & development,18,1,medical,2,female,3,1,laboratory technician,4,single,2153,1,no,13,3,1,0,8,2,3,8,1,1,7,1,0,0,1,2,0.6223424845762054
